Date/Time,DistrictCooling:Facility [J](Monthly),DistrictCooling:Facility [J](RunPeriod),DistrictHeating:Facility [J](Monthly),DistrictHeating:Facility [J](RunPeriod),Electricity:Facility [J](Hourly),Electricity:Building [J](Hourly),Electricity:Zone:FREEZER_1 [J](Hourly),Electricity:Zone:FREEZER_2 [J](Hourly),Electricity:Zone:FREEZER_3 [J](Hourly),Electricity:Zone:FREEZER_4 [J](Hourly),Electricity:Zone:FREEZER_5 [J](Hourly),Electricity:Zone:SUBFREEZER [J](Hourly),Electricity:Zone:COOLER_1 [J](Hourly),Electricity:Zone:COOLER_2 [J](Hourly),Electricity:Zone:COOLER_3 [J](Hourly),Electricity:Zone:DOCK [J](Hourly),Electricity:Zone:OFFICE1_LOWER [J](Hourly),Electricity:Zone:OFFICE1_UPPER [J](Hourly),Electricity:Zone:OFFICE2_LOWER [J](Hourly),Electricity:Zone:OFFICE2_UPPER [J](Hourly),Electricity:Zone: [J](Hourly),Electricity:Plant [J](Hourly),Electricity:HVAC [J](Hourly) 
 10/14  18:00:00,,,,,8867961567,7324413727,53851846.17,12736052.48,14367811.88,12077291.15,37503964.3,15151510.71,26925923.09,6922672.998,5819058.463,72974854.82,7090493.793,7090493.793,7090493.793,7090493.793,7037720766,1539487040,4060800
 10/14  19:00:00,,,,,9113355255,7460735937,10561051.1,2497706.406,2817715.758,2368514.695,7355017.734,2971409.345,5280525.552,1357626.683,1141193.444,14311323.12,1645899.986,1645899.986,1645899.986,1645899.986,7403490253,1648558519,4060800
 10/14  20:00:00,,,,,9153581745,7438776868,10561051.1,2497706.406,2817715.758,2368514.695,7355017.734,2971409.345,5280525.552,1357626.683,1141193.444,14311323.12,1645899.986,1645899.986,1645899.986,1645899.986,7381531184,1710744077,4060800
 10/14  21:00:00,,,,,8069225434,6667901551,10561051.1,2497706.406,2817715.758,2368514.695,7355017.734,2971409.345,5280525.552,1357626.683,1141193.444,14311323.12,1645899.986,1645899.986,1645899.986,1645899.986,6610655867,1397263083,4060800
 10/14  22:00:00,,,,,2286385630,1550513990,10561051.1,2497706.406,2817715.758,2368514.695,7355017.734,2971409.345,5280525.552,1357626.683,1141193.444,14311323.12,1645899.986,1645899.986,1645899.986,1645899.986,1493268307,731810839.3,4060800
 10/14  23:00:00,,,,,10930763746,8884473310,10561051.1,2497706.406,2817715.758,2368514.695,7355017.734,2971409.345,5280525.552,1357626.683,1141193.444,14311323.12,1645899.986,1645899.986,1645899.986,1645899.986,8827227626,2042229636,4060800
 10/14  24:00:00,,,,,1492498445,916739219.8,10561051.1,2497706.406,2817715.758,2368514.695,7355017.734,2971409.345,5280525.552,1357626.683,1141193.444,14311323.12,1645899.986,1645899.986,1645899.986,1645899.986,859493536,571698425.5,4060800
 10/15  01:00:00,,,,,9747820376,8063247588,10561051.1,2497706.406,2817715.758,2368514.695,7355017.734,2971409.345,5280525.552,1357626.683,1141193.444,14311323.12,1645899.986,1645899.986,1645899.986,1645899.986,8006001904,1643787369,40785419.78
 10/15  02:00:00,,,,,9069009192,7598537253,10561051.1,2497706.406,2817715.758,2368514.695,7355017.734,2971409.345,5280525.552,1357626.683,1141193.444,14311323.12,1645899.986,1645899.986,1645899.986,1645899.986,7541291570,1384355404,86116534.32
 10/15  03:00:00,,,,,7890884767,6709647312,10561051.1,2497706.406,2817715.758,2368514.695,7355017.734,2971409.345,5280525.552,1357626.683,1141193.444,14311323.12,1645899.986,1645899.986,1645899.986,1645899.986,6652401628,1177176655,4060800
 10/15  04:00:00,,,,,8867020578,7482782908,10561051.1,2497706.406,2817715.758,2368514.695,7355017.734,2971409.345,5280525.552,1357626.683,1141193.444,14311323.12,1645899.986,1645899.986,1645899.986,1645899.986,7425537224,1380176869,4060800
 10/15  05:00:00,,,,,9959412102,8366998650,10561051.1,2497706.406,2817715.758,2368514.695,7355017.734,2971409.345,5280525.552,1357626.683,1141193.444,14311323.12,1645899.986,1645899.986,1645899.986,1645899.986,8309752966,1588352652,4060800
 10/15  06:00:00,,,,,9030411884,7570378727,10561051.1,2497706.406,2817715.758,2368514.695,7355017.734,2971409.345,5280525.552,1357626.683,1141193.444,14311323.12,1645899.986,1645899.986,1645899.986,1645899.986,7513133043,1455972357,4060800
 10/15  07:00:00,,,,,10480640270,8728092346,10561051.1,2497706.406,2817715.758,2368514.695,7355017.734,2971409.345,5280525.552,1357626.683,1141193.444,14311323.12,1645899.986,1645899.986,1645899.986,1645899.986,8670846662,1748487125,4060800
 10/15  08:00:00,,,,,10131235413,8409763898,10561051.1,2497706.406,2817715.758,2368514.695,7355017.734,2971409.345,5280525.552,1357626.683,1141193.444,14311323.12,1645899.986,1645899.986,1645899.986,1645899.986,8352518214,1717410716,4060800
 10/15  09:00:00,,,,,8588640363,7048915902,10561051.1,2497706.406,2817715.758,2368514.695,7355017.734,2971409.345,5280525.552,1357626.683,1141193.444,14311323.12,1645899.986,1645899.986,1645899.986,1645899.986,6991670218,1535663662,4060800
 10/15  10:00:00,,,,,9662488689,7830919259,10561051.1,2497706.406,2817715.758,2368514.695,7355017.734,2971409.345,5280525.552,1357626.683,1141193.444,14311323.12,1645899.986,1645899.986,1645899.986,1645899.986,7773673575,1827508630,4060800
 10/15  11:00:00,,,,,9758021693,7776818773,10561051.1,2497706.406,2817715.758,2368514.695,7355017.734,2971409.345,5280525.552,1357626.683,1141193.444,14311323.12,1645899.986,1645899.986,1645899.986,1645899.986,7719573089,1977142120,4060800
 10/15  12:00:00,,,,,8728521012,7005083308,10561051.1,2497706.406,2817715.758,2368514.695,7355017.734,2971409.345,5280525.552,1357626.683,1141193.444,14311323.12,1645899.986,1645899.986,1645899.986,1645899.986,6947837625,1719376903,4060800
 10/15  13:00:00,,,,,9812532603,7781743614,10561051.1,2497706.406,2817715.758,2368514.695,7355017.734,2971409.345,5280525.552,1357626.683,1141193.444,14311323.12,1645899.986,1645899.986,1645899.986,1645899.986,7724497930,2026728189,4060800
 10/15  14:00:00,,,,,9480069881,7505085511,10561051.1,2497706.406,2817715.758,2368514.695,7355017.734,2971409.345,5280525.552,1357626.683,1141193.444,14311323.12,1645899.986,1645899.986,1645899.986,1645899.986,7447839827,1970923570,4060800
 10/15  15:00:00,,,,,8731483709,7013352248,10561051.1,2497706.406,2817715.758,2368514.695,7355017.734,2971409.345,5280525.552,1357626.683,1141193.444,14311323.12,1645899.986,1645899.986,1645899.986,1645899.986,6956106564,1714070661,4060800
 10/15  16:00:00,,,,,9746009362,7733307027,10561051.1,2497706.406,2817715.758,2368514.695,7355017.734,2971409.345,5280525.552,1357626.683,1141193.444,14311323.12,1645899.986,1645899.986,1645899.986,1645899.986,7676061343,2008641536,4060800
 10/15  17:00:00,,,,,10003588322,7905157530,10561051.1,2497706.406,2817715.758,2368514.695,7355017.734,2971409.345,5280525.552,1357626.683,1141193.444,14311323.12,1645899.986,1645899.986,1645899.986,1645899.986,7847911846,2094369992,4060800
 10/15  18:00:00,,,,,8570940077,7115323084,10561051.1,2497706.406,2817715.758,2368514.695,7355017.734,2971409.345,5280525.552,1357626.683,1141193.444,14311323.12,1645899.986,1645899.986,1645899.986,1645899.986,7058077400,1451556194,4060800
 10/15  19:00:00,,,,,9097075788,7494496384,10561051.1,2497706.406,2817715.758,2368514.695,7355017.734,2971409.345,5280525.552,1357626.683,1141193.444,14311323.12,1645899.986,1645899.986,1645899.986,1645899.986,7437250701,1598518603,4060800
 10/15  20:00:00,,,,,9091290805,7448528210,10561051.1,2497706.406,2817715.758,2368514.695,7355017.734,2971409.345,5280525.552,1357626.683,1141193.444,14311323.12,1645899.986,1645899.986,1645899.986,1645899.986,7391282526,1638701795,4060800
 10/15  21:00:00,,,,,7991020469,6669162825,10561051.1,2497706.406,2817715.758,2368514.695,7355017.734,2971409.345,5280525.552,1357626.683,1141193.444,14311323.12,1645899.986,1645899.986,1645899.986,1645899.986,6611917141,1317796844,4060800
 10/15  22:00:00,,,,,2257367046,1550136041,10561051.1,2497706.406,2817715.758,2368514.695,7355017.734,2971409.345,5280525.552,1357626.683,1141193.444,14311323.12,1645899.986,1645899.986,1645899.986,1645899.986,1492890358,703170204.8,4060800
